Test Episode,Total Reward,Steps,Final X,Final Y,Final Vertical Velocity,Left Leg,Right Leg,Final Reward
1,228.8793160670517,373,-0.08923559,-0.00028687954,0.0,1.0,1.0,100
2,103.57789247929367,500,-0.1315318,0.004863033,-0.003919746,1.0,1.0,-0.04656298164157846
3,198.07089045646404,284,0.24584647,0.019954572,0.0,1.0,1.0,100
4,226.2866207919813,396,0.19712687,0.018018875,0.0,1.0,1.0,100
5,202.7999068598567,451,0.37055692,-0.016404452,0.0,1.0,1.0,100
6,192.39859172793308,488,-0.11766453,-0.00025515794,0.0,1.0,1.0,100
7,141.60879180062133,500,-0.096415326,-0.001101234,3.5878538e-06,0.0,1.0,-0.5635308058286685
8,214.493163184423,320,0.24170466,-0.010770955,0.0,1.0,1.0,100
9,74.55192577205543,254,-0.070294574,-0.02714931,1.15094416e-07,1.0,1.0,-100
10,223.69464151954912,309,0.106945515,-0.0012902761,0.0,1.0,1.0,100
11,65.26598390876912,500,0.3087018,0.04451581,0.010082422,0.0,0.0,0.8163766407085842
12,229.9704592646949,338,-0.113582134,-0.00072930095,0.0,1.0,1.0,100
13,251.5959717233117,349,-0.04593716,-0.0012601637,0.0,1.0,1.0,100
14,234.90039712495982,275,-0.018981934,-0.0011710429,0.0,1.0,1.0,100
15,222.05945586752435,297,0.004860687,-0.00050034764,0.0,1.0,1.0,100
16,62.32467117166846,500,-0.2697358,0.1391696,-0.010393966,0.0,0.0,0.7514070306906404
17,-20.568000924341945,500,0.7488939,0.04239486,0.006592804,0.0,0.0,-3.2011617172753857
18,215.82325770960583,436,0.21257028,0.02137936,0.0,1.0,1.0,100
19,57.557845747605406,500,0.5676673,-0.019582585,-0.016502792,0.0,0.0,-0.9184532873933324
20,287.19214823255675,274,0.06208687,-0.0010321402,0.0,1.0,1.0,100
21,158.74016875599526,500,-0.118662074,0.001243875,-0.0024114237,1.0,1.0,-0.06065425912938771
22,210.36269086184467,410,-0.10051565,-0.0013429188,0.0,1.0,1.0,100
23,264.34460465161845,304,-0.004295158,-0.0010332847,0.0,1.0,1.0,100
24,88.76797402312279,500,0.44260225,-0.04063156,-0.05206447,1.0,1.0,11.092927348622865
25,247.4667169325776,416,-0.061923027,-0.00096476317,0.0,1.0,1.0,100
26,239.60289263874984,299,0.21838465,0.022855006,0.0,1.0,1.0,100
27,128.2372644679572,500,0.3040102,0.0023341393,-6.674331e-09,0.0,1.0,4.374132512197093e-05
28,283.2362819347867,287,0.039873697,-0.0011513734,0.0,1.0,1.0,100
29,112.05007834932799,500,-0.14506197,-0.0054791356,4.1884748e-10,1.0,1.0,-3.988378225017186e-06
30,288.38012692038564,311,0.028479576,-0.00085851195,0.0,1.0,1.0,100
31,238.4817040096031,309,-0.03718271,-0.0010107899,0.0,1.0,1.0,100
32,249.65760794168875,461,0.11211757,-0.00017733812,0.0,1.0,1.0,100
33,278.0310921650001,317,0.034838103,-0.0014083647,0.0,1.0,1.0,100
34,250.20251612149303,265,0.0034575462,-0.001337912,0.0,1.0,1.0,100
35,235.0488529467997,380,-0.073082164,-0.00082196237,0.0,1.0,1.0,100
36,290.3634911273618,313,0.053236105,-0.0006337786,0.0,1.0,1.0,100
37,216.16540819209098,453,-0.16497001,0.008648918,0.0,1.0,1.0,100
38,283.03746999960833,330,0.07512598,-0.0010240579,0.0,1.0,1.0,100
39,66.35082552164953,500,0.43341953,-0.027126959,-0.001282292,0.0,0.0,1.1229672278032339
40,288.67550384032273,296,-0.09315119,-0.0010025644,0.0,1.0,1.0,100
41,228.1950566220068,377,-0.09332905,-0.0003894472,0.0,1.0,1.0,100
42,235.39051597776478,292,-0.0077120783,-0.0005685115,0.0,1.0,1.0,100
43,288.21820486117724,299,0.02761736,-0.0007789755,0.0,1.0,1.0,100
44,107.5146096296173,500,0.35525864,-0.026969852,-0.0010674092,1.0,1.0,0.08334188177943957
45,271.779109803634,296,-0.090475366,-0.000872674,0.0,1.0,1.0,100
46,290.99123013712136,320,0.098752975,-0.00067812443,0.0,1.0,1.0,100
47,253.10051308465802,311,-0.007228947,-0.0013549351,0.0,1.0,1.0,100
48,288.1572831039441,311,-0.035762597,-0.0006492281,0.0,1.0,1.0,100
49,73.65884218611004,227,-0.017946815,-0.027342573,-0.00038127587,1.0,1.0,-100
50,260.91276275506124,379,0.057972528,-0.0005843902,0.0,1.0,1.0,100
51,247.96839906845798,271,-0.015579795,-0.00049970386,0.0,1.0,1.0,100
52,269.88609166649735,346,-0.03260536,-0.0008490348,0.0,1.0,1.0,100
53,272.80249476686123,295,0.036119748,-0.00021574735,0.0,1.0,1.0,100
54,224.87115300122838,361,-0.07004175,-0.00117208,0.0,1.0,1.0,100
55,247.77354901249643,289,-0.051931668,-0.0007049108,0.0,1.0,1.0,100
56,212.86132649796184,414,-0.10763712,-0.0005759144,0.0,1.0,1.0,100
57,233.8911078438145,330,-0.100231454,-0.00088079215,0.0,1.0,1.0,100
58,216.99402885004082,400,0.052228928,-0.0013745332,0.0,1.0,1.0,100
59,234.48172712417391,308,0.0065438272,-0.0012499356,0.0,1.0,1.0,100
60,242.38644992776355,292,0.03393793,-0.000114717484,0.0,1.0,1.0,100
61,260.8761856065346,311,-0.0675209,-0.00031202077,0.0,1.0,1.0,100
62,307.9734790379908,298,-0.01681509,-0.00081591844,0.0,1.0,1.0,100
63,102.03609115299452,500,-0.1937931,-0.0061126375,-1.2037836e-07,1.0,1.0,0.00022463870795164098
64,224.8539576525471,344,-0.022535801,-0.00095403433,0.0,1.0,1.0,100
65,263.23762179793664,476,0.04041662,0.00054381846,0.0,1.0,0.0,100
66,233.74500110292485,348,-0.1050663,-0.0012388491,0.0,1.0,1.0,100
67,208.79945463193505,371,-0.061355688,-0.00086033583,0.0,1.0,1.0,100
68,210.78321768911874,347,-0.072338864,0.00013136625,0.0,1.0,1.0,100
69,249.1800499192496,312,-0.047495365,-0.0008381629,0.0,1.0,1.0,100
70,231.16843718623008,405,-0.08322668,-0.0011431479,0.0,1.0,1.0,100
71,79.16147567316774,500,0.25482312,0.026752362,-0.025791574,0.0,0.0,1.35426329216486
72,112.95979625855622,500,0.4258484,-0.07331242,-0.0027149725,1.0,1.0,0.14787424542144123
73,272.8891098521334,309,0.07915564,-0.00031481028,0.0,1.0,1.0,100
74,43.626784919925925,500,-0.25190735,0.12506075,-0.047753587,0.0,0.0,-0.9589673110088797
75,1.045110565128013,271,0.43071318,0.07428261,-0.030513953,1.0,0.0,-100
76,212.11569542001016,328,0.2738982,0.021492729,0.0,1.0,1.0,100
77,230.5194567545784,314,0.08182831,-0.00082925794,0.0,1.0,1.0,100
78,213.29535477774752,341,0.3670579,0.037694704,0.0,1.0,1.0,100
79,285.80365113616466,307,0.09316387,-0.0010611081,0.0,1.0,0.0,100
80,239.39666566572112,300,-0.036918353,-0.000961473,0.0,1.0,1.0,100
81,210.43352650378267,345,0.13193282,-0.0035987282,0.0,1.0,1.0,100
82,108.31904204142124,500,0.37550277,-0.084695995,-0.00016848954,0.0,1.0,0.26244285357906105
83,287.07616176394583,300,-0.012354946,-0.0011489415,0.0,1.0,1.0,100
84,184.18676914488694,428,0.24431276,0.023209343,0.0,1.0,0.0,100
85,226.8129095558346,289,-0.002481842,-0.000783875,0.0,1.0,1.0,100
86,277.121266015591,327,0.09433279,-0.0012550855,0.0,1.0,0.0,100
87,272.54237147458207,293,0.00878563,-0.0009548211,0.0,1.0,1.0,100
88,82.0933133572767,500,0.5836743,0.03317722,-0.043008424,0.0,1.0,-2.133688809433778
89,23.403809173202397,500,0.59801435,-0.019602861,0.037909996,0.0,0.0,-1.7546770302791928
90,229.0929997119011,292,0.035778522,-0.0010626817,0.0,1.0,1.0,100
91,264.18660066327874,305,0.012403393,-0.0006669307,0.0,1.0,1.0,100
92,50.97257440402895,500,0.4988123,-0.06785677,0.047817532,0.0,0.0,-0.25041917606944536
93,225.96098927946343,425,-0.10993223,-0.0003243232,0.0,1.0,1.0,100
94,261.4864378126575,266,0.07093821,-0.00057537796,0.0,1.0,1.0,100
95,256.4229520817597,310,0.013805484,-0.0010279203,0.0,1.0,1.0,100
96,103.5725398624821,500,-0.12222328,0.0041753147,-0.0050422167,1.0,1.0,-0.21163587889529367
97,220.1768639598261,289,0.016910171,-0.0008070493,0.0,1.0,1.0,100
98,244.98287792436665,306,-0.03371954,-0.0010288501,0.0,1.0,1.0,100
99,275.09034167186684,290,0.03575363,-0.0009857917,0.0,1.0,1.0,100
100,292.4044305010177,306,-0.050405502,-0.0008281136,0.0,1.0,1.0,100
